[16:04:07.084] Created Window
[16:04:07.112] Setup Shaders
[16:04:07.461] Setup Player
[16:04:07.707] Setup Scene Graph
[16:04:07.775] Entering Render Loop
[16:04:13.118] Vector3f[-67.5, 5.0, 0.0]
[16:04:13.119] Vector3f[-67.5, 4.9, 0.0]
[16:04:13.120] Vector3f[-67.5, 4.8, 0.0]
[16:04:13.120] Vector3f[-67.5, 4.7000003, 0.0]
[16:04:13.121] Vector3f[-67.5, 4.6000004, 0.0]
[16:04:13.121] Vector3f[-67.5, 4.5000005, 0.0]
[16:04:13.121] Vector3f[-67.5, 4.4000006, 0.0]
[16:04:13.121] Vector3f[-67.5, 4.3000007, 0.0]
[16:04:13.122] Vector3f[-67.5, 4.200001, 0.0]
[16:04:13.122] Vector3f[-67.5, 4.100001, 0.0]
[16:04:13.122] Vector3f[-67.5, 4.000001, 0.0]
[16:04:13.122] Vector3f[-67.5, 3.900001, 0.0]
[16:04:13.124] Vector3f[-67.5, 3.8000011, 0.0]
[16:04:13.124] Vector3f[-67.5, 3.7000012, 0.0]
[16:04:13.124] Vector3f[-67.5, 3.6000013, 0.0]
[16:04:13.125] Vector3f[-67.5, 3.5000014, 0.0]
[16:04:13.125] Vector3f[-67.5, 3.4000015, 0.0]
[16:04:13.125] Vector3f[-67.5, 3.3000016, 0.0]
[16:04:13.125] Vector3f[-67.5, 3.2000017, 0.0]
[16:04:13.125] Vector3f[-67.5, 3.1000018, 0.0]
[16:04:13.125] Vector3f[-67.5, 3.000002, 0.0]
[16:04:13.126] Vector3f[-67.5, 2.900002, 0.0]
[16:04:13.126] Vector3f[-67.5, 2.800002, 0.0]
[16:04:13.126] Vector3f[-67.5, 2.7000022, 0.0]
[16:04:13.126] Vector3f[-67.5, 2.6000023, 0.0]
[16:04:13.126] Vector3f[-67.5, 2.5000024, 0.0]
[16:04:13.127] Vector3f[-67.5, 2.4000025, 0.0]
[16:04:13.127] Vector3f[-67.5, 2.3000026, 0.0]
[16:04:13.127] Vector3f[-67.5, 2.2000027, 0.0]
[16:04:13.127] Vector3f[-67.5, 2.1000028, 0.0]
[16:04:13.127] Vector3f[-67.5, 2.0000029, 0.0]
[16:04:13.127] Vector3f[-67.5, 1.9000028, 0.0]
[16:04:13.128] Vector3f[-67.5, 1.8000028, 0.0]
[16:04:13.128] Vector3f[-67.5, 1.7000028, 0.0]
[16:04:13.128] Vector3f[-67.5, 1.6000028, 0.0]
[16:04:13.128] Vector3f[-67.5, 1.5000027, 0.0]
[16:04:13.128] Vector3f[-67.5, 1.4000027, 0.0]
[16:04:13.128] Vector3f[-67.5, 1.3000027, 0.0]
[16:04:13.129] Vector3f[-67.5, 1.2000027, 0.0]
[16:04:13.129] Vector3f[-67.5, 1.1000026, 0.0]
[16:04:13.129] Vector3f[-67.5, 1.0000026, 0.0]
